Job_Title,Industry,Company_Size,Location,AI_Adoption_Level,Automation_Risk,Required_Skills,Salary_USD,Remote_Friendly,Job_Growth_Projection
Cybersecurity Analyst,Entertainment,Small,Dubai,High,Medium,Cybersecurity,111225.36,Yes,Growth
Marketing Specialist,Technology,Large,Singapore,Medium,High,Communication,69308.68,No,Decline
AI Researcher,Technology,Large,Singapore,High,Medium,Machine Learning,156476.89,Yes,Growth
Sales Manager,Retail,Small,Berlin,Medium,High,Sales,95153.53,No,Growth
Cybersecurity Analyst,Entertainment,Small,Tokyo,High,Medium,Cybersecurity,105743.85,Yes,Decline
UX Designer,Education,Large,San Francisco,Medium,Medium,UX/UI Design,100743.97,No,Growth
HR Manager,Finance,Medium,Singapore,Low,High,Data Analysis,100528.09,Yes,Growth
Cybersecurity Analyst,Technology,Small,Dubai,High,Medium,Cybersecurity,113255.76,Yes,Decline
AI Researcher,Retail,Large,London,High,Low,Machine Learning,145305.26,No,Stable
Sales Manager,Entertainment,Medium,Singapore,Medium,High,Sales,88617.07,Yes,Decline
Marketing Specialist,Finance,Small,London,Medium,Medium,Communication,67682.91,Yes,Growth
AI Researcher,Entertainment,Medium,Singapore,High,Medium,Machine Learning,145342.7,No,Growth
AI Researcher,Transportation,Large,San Francisco,High,Low,Data Analysis,152419.62,Yes,Growth
HR Manager,Retail,Small,Paris,Low,High,Communication,77244.8,Yes,Decline
Product Manager,Finance,Medium,Singapore,Medium,Low,JavaScript,122750.82,Yes,Growth
Sales Manager,Telecommunications,Small,Dubai,Low,High,Sales,81251.42,No,Growth
Software Engineer,Manufacturing,Medium,Singapore,High,Low,JavaScript,114871.69,No,Decline
AI Researcher,Manufacturing,Large,Tokyo,High,Low,Data Analysis,153142.47,No,Stable
Product Manager,Finance,Large,San Francisco,High,Low,UX/UI Design,130919.76,Yes,Stable
Software Engineer,Entertainment,Small,Dubai,Medium,Low,Python,110876.96,Yes,Growth
Sales Manager,Retail,Medium,Sydney,Low,Medium,Sales,94770.99,Yes,Decline
Data Scientist,Manufacturing,Small,Dubai,High,Medium,Machine Learning,127742.24,Yes,Growth
UX Designer,Retail,Small,Tokyo,Medium,Medium,UX/UI Design,103006.46,No,Decline
Product Manager,Manufacturing,Medium,Paris,Medium,Low,Data Analysis,125752.52,Yes,Decline
Operations Manager,Transportation,Medium,San Francisco,Low,Medium,Project Management,93417.13,Yes,Stable
Data Scientist,Entertainment,Medium,Sydney,High,Medium,Machine Learning,131109.23,Yes,Stable
UX Designer,Transportation,Large,Tokyo,High,Medium,UX/UI Design,93867.55,No,Decline
HR Manager,Manufacturing,Small,Tokyo,Low,High,Communication,92504.65,Yes,Growth
Cybersecurity Analyst,Telecommunications,Small,New York,Medium,Low,Cybersecurity,102995.21,Yes,Stable
Marketing Specialist,Telecommunications,Large,San Francisco,Medium,High,Communication,68541.53,Yes,Growth
Operations Manager,Transportation,Medium,Dubai,Low,Medium,Data Analysis,92987.2,Yes,Stable
HR Manager,Telecommunications,Large,London,Low,Medium,Communication,102348.52,Yes,Stable
Sales Manager,Manufacturing,Large,Paris,Medium,Medium,Sales,84910.02,No,Growth
HR Manager,Finance,Large,London,Low,Medium,Communication,82948.59,Yes,Stable
Cybersecurity Analyst,Transportation,Small,Dubai,High,Low,Cybersecurity,113669.09,Yes,Stable
